"","Reef_2","Site","Transect","Depth_m","Habitat","Aspect_descriptive","Benthic_Complexity","cropper","browser","detritivore","excavator","scraper"
"187","Osprey","OSPR-01","T9",91.1,"outer_slope","wall",3,0,0,0,0,0
"188","Osprey","OSPR-02","T1",47.7,"outer_slope","steep_slope",3,0,1,0,1,3
"189","Osprey","OSPR-02","T10",12.7,"outer_slope","moderate_slope",2,4,0,9,7,15
"190","Osprey","OSPR-02","T11",15.8,"outer_slope","steep_slope",2,2,0,1,1,1
"191","Osprey","OSPR-02","T12",18.2,"outer_slope","wall",2,2,0,0,1,1
"192","Osprey","OSPR-02","T13",9.4,"outer_slope","moderate_slope",2,3,0,10,7,0
"193","Osprey","OSPR-02","T14",7.3,"outer_slope","moderate_slope",2,9,1,31,1,7
"194","Osprey","OSPR-02","T15",6.1,"outer_slope","gentle_slope",1,19,0,70,1,25
"195","Osprey","OSPR-02","T16",47.8,"outer_slope","moderate_slope",4,1,0,4,0,0
"196","Osprey","OSPR-02","T17",44.4,"outer_slope","steep_slope",3,0,0,0,0,0
"197","Osprey","OSPR-02","T18",36.9,"outer_slope","steep_slope",3,0,0,0,0,0
"198","Osprey","OSPR-02","T19",33.2,"outer_slope","steep_slope",3,3,0,1,0,2
"199","Osprey","OSPR-02","T2",44.8,"outer_slope","wall",4,0,0,0,0,0
"200","Osprey","OSPR-02","T20",27.7,"outer_slope","steep_slope",3,0,1,2,0,2
"201","Osprey","OSPR-02","T21",21.4,"outer_slope","moderate_slope",2,2,0,3,0,0
"202","Osprey","OSPR-02","T22",17.1,"outer_slope","wall",3,1,0,1,1,0
"203","Osprey","OSPR-02","T23",14.1,"outer_slope","steep_slope",2,1,5,8,4,7
"204","Osprey","OSPR-02","T24",6.2,"outer_slope","moderate_slope",1,4,27,63,8,13
"205","Osprey","OSPR-02","T25",8.2,"outer_slope","moderate_slope",2,7,6,39,1,2
"206","Osprey","OSPR-02","T3",42.3,"outer_slope","moderate_slope",3,1,0,1,8,4
"207","Osprey","OSPR-02","T4",32.2,"outer_slope","steep_slope",2,1,0,2,0,0
"208","Osprey","OSPR-02","T5",35,"outer_slope","steep_slope",3,2,0,0,0,0
"209","Osprey","OSPR-02","T6",38.1,"outer_slope","steep_slope",3,1,0,0,0,4
"210","Osprey","OSPR-02","T7",28,"outer_slope","steep_slope",2,0,0,4,0,0
"211","Osprey","OSPR-02","T8",24.9,"outer_slope","steep_slope",3,0,1,2,0,1
"212","Osprey","OSPR-02","T9",23.1,"outer_slope","wall",3,3,0,2,0,4
"213","Osprey","OSPR-02","T1",97.2,"outer_slope","wall",5,0,0,0,0,0
"214","Osprey","OSPR-02","T10",68,"outer_slope","steep_slope",4,0,0,0,1,0
"215","Osprey","OSPR-02","T11",64.2,"outer_slope","steep_slope",4,1,0,0,0,0
"216","Osprey","OSPR-02","T12",61.4,"outer_slope","steep_slope",4,0,0,2,0,0
"217","Osprey","OSPR-02","T13",52.3,"outer_slope","steep_slope",5,0,0,0,0,0
"218","Osprey","OSPR-02","T14",54.6,"outer_slope","wall",3,0,0,0,0,0
"219","Osprey","OSPR-02","T15",59.8,"outer_slope","wall",4,0,0,0,0,0
"220","Osprey","OSPR-02","T2",87.6,"outer_slope","wall",5,0,0,0,0,0
"221","Osprey","OSPR-02","T3",94.1,"outer_slope","wall",4,0,0,0,0,0
"222","Osprey","OSPR-02","T5",84,"outer_slope","wall",3,0,0,0,0,0
"223","Osprey","OSPR-02","T6",80.6,"outer_slope","steep_slope",4,3,0,0,0,0
"224","Osprey","OSPR-02","T7",71.6,"outer_slope","steep_slope",5,0,0,2,0,0
"225","Osprey","OSPR-02","T8",74.4,"outer_slope","steep_slope",4,0,0,0,0,0
"226","Osprey","OSPR-02","T9",77.2,"outer_slope","steep_slope",4,0,0,0,0,0
"227","Osprey","OSPR-03","T1",55.6,"outer_slope","wall",3,0,0,1,0,0
"228","Osprey","OSPR-03","T10",18.1,"outer_slope","steep_slope",3,3,0,0,1,0
"229","Osprey","OSPR-03","T11",8.3,"outer_slope","moderate_slope",1,5,1,45,4,3
"230","Osprey","OSPR-03","T12",6.4,"outer_slope","moderate_slope",1,17,0,101,20,16
"231","Osprey","OSPR-03","T13",96.5,"outer_slope","wall",3,0,0,0,0,1
"232","Osprey","OSPR-03","T14",91,"outer_slope","wall",3,0,0,0,0,0
"233","Osprey","OSPR-03","T15",81.1,"outer_slope","steep_slope",3,0,0,0,0,0
"234","Osprey","OSPR-03","T16",81.1,"outer_slope","steep_slope",3,2,0,0,0,0
"235","Osprey","OSPR-03","T17",87.4,"outer_slope","steep_slope",3,0,0,0,0,0
"236","Osprey","OSPR-03","T18",75.6,"outer_slope","steep_slope",3,0,0,0,0,0
"237","Osprey","OSPR-03","T19",78.1,"outer_slope","steep_slope",3,1,0,0,0,0
"238","Osprey","OSPR-03","T2",55.7,"outer_slope","steep_slope",3,1,0,0,0,0
"239","Osprey","OSPR-03","T20",70.5,"outer_slope","steep_slope",3,0,0,0,0,0
"240","Osprey","OSPR-03","T21",60.6,"outer_slope","wall",3,1,0,0,0,0
"241","Osprey","OSPR-03","T22",64.9,"outer_slope","wall",3,0,0,0,1,1
"242","Osprey","OSPR-03","T23",68.7,"outer_slope","steep_slope",3,0,0,0,0,0
"243","Osprey","OSPR-03","T24",88.2,"outer_slope","wall",3,0,0,0,0,0
"244","Osprey","OSPR-03","T25",78.9,"outer_slope","steep_slope",3,0,0,0,0,0
"245","Osprey","OSPR-03","T26",53.6,"outer_slope","wall",3,0,0,0,0,0
"246","Osprey","OSPR-03","T27",51,"outer_slope","wall",4,0,0,0,0,0
"247","Osprey","OSPR-03","T3",45.8,"outer_slope","wall",3,1,0,0,0,0
"248","Osprey","OSPR-03","T4",47.4,"outer_slope","wall",3,0,0,0,0,0
"249","Osprey","OSPR-03","T5",37.5,"outer_slope","steep_slope",4,0,1,0,0,0
"250","Osprey","OSPR-03","T6",34.3,"outer_slope","steep_slope",4,0,0,2,0,1
"251","Osprey","OSPR-03","T7",28.2,"outer_slope","wall",4,4,0,3,0,0
"252","Osprey","OSPR-03","T8",24.4,"outer_slope","steep_slope",4,2,0,1,0,0
"253","Osprey","OSPR-03","T9",14.5,"outer_slope","wall",2,3,0,1,1,0
"254","Saumarez","SAUM-01","T1",29.6,"inner_reef","flat",1,0,0,0,0,0
"255","Saumarez","SAUM-01","T2",29.6,"inner_reef","flat",1,2,0,0,0,0
"256","Saumarez","SAUM-01","T3",29.8,"inner_reef","flat",1,0,0,0,0,0
"257","Saumarez","SAUM-01","T4",29.6,"inner_reef","flat",0,6,0,0,0,0
"258","Saumarez","SAUM-01","T5",29.5,"inner_reef","flat",1,13,2,0,0,0
"259","Saumarez","SAUM-01","T6",29.9,"inner_reef","flat",1,6,0,0,0,0
"260","Willis","WILL-01","T1",35.2,"outer_slope","gentle_slope",3,3,0,6,0,1
"261","Willis","WILL-01","T10",50.4,"outer_slope","steep_slope",3,0,0,3,1,2
"262","Willis","WILL-01","T11",50.1,"outer_slope","steep_slope",3,4,0,2,0,0
"263","Willis","WILL-01","T12",40,"outer_slope","steep_slope",3,1,0,0,0,0
"264","Willis","WILL-01","T13",43,"outer_slope","steep_slope",3,2,0,1,0,0
"265","Willis","WILL-01","T14",42,"outer_slope","steep_slope",3,1,0,0,0,0
"266","Willis","WILL-01","T15",42,"outer_slope","steep_slope",3,10,0,2,0,3
"267","Willis","WILL-01","T2",42.3,"outer_slope","gentle_slope",4,6,0,0,0,0
"268","Willis","WILL-01","T3",44.4,"outer_slope","gentle_slope",4,1,0,0,0,0
"269","Willis","WILL-01","T4",51.5,"outer_slope","steep_slope",3,3,0,2,0,0
"270","Willis","WILL-01","T5",52.3,"outer_slope","steep_slope",3,1,0,0,0,0
"271","Willis","WILL-01","T6",52.3,"outer_slope","steep_slope",3,2,0,0,0,1
"272","Willis","WILL-01","T7",60.1,"outer_slope","steep_slope",1,0,0,0,0,0
"273","Willis","WILL-01","T8",44.8,"outer_slope","steep_slope",2,1,0,0,0,0
"274","Willis","WILL-01","T9",44.1,"outer_slope","steep_slope",2,3,0,0,0,2
"275","Wreck","WREC-01","T1",31.5,"outer_slope","gentle_slope",3,7,0,3,0,3
"276","Wreck","WREC-01","T2",36.5,"outer_slope","gentle_slope",3,4,0,10,0,5
"277","Wreck","WREC-01","T3",36.3,"outer_slope","gentle_slope",3,15,0,14,0,2
"278","Betty Cay","BETT-01","T4",57.6,"outer_slope","steep_slope",2,0,0,0,0,0
"279","Betty Cay","BETT-01","T5",50.9,"outer_slope","steep_slope",2,0,0,0,0,0
"280","Betty Cay","BETT-01","T6",40.4,"outer_slope","steep_slope",3,2,0,2,0,0
"281","Betty Cay","BETT-01","T7",32.3,"outer_slope","flat",5,3,0,0,0,0
"282","Betty Cay","BETT-01","T8",21.1,"outer_slope","flat",4,4,0,1,0,0
"283","Betty Cay","BETT-01","T9",12.6,"outer_slope","gentle_slope",3,3,0,0,0,1
"284","Betty Cay","BETT-01","T10",8.2,"outer_slope","flat",3,2,0,7,0,0
"285","Betty Cay","BETT-01","T11",8.3,"outer_slope","flat",3,11,8,16,6,1
"286","East Diamond","EDIA-01","T1",48,"lagoon","flat",2,6,0,0,0,0
"287","East Diamond","EDIA-01","T2",50,"lagoon","flat",2,4,0,0,0,0
"288","East Diamond","EDIA-01","T3",48,"lagoon","gentle_slope",2,13,0,0,0,2
"289","East Diamond","EDIA-01","T4",45,"lagoon","gentle_slope",2,9,0,0,0,0
"290","East Diamond","EDIA-01","T5",45,"lagoon","gentle_slope",2,13,0,0,0,0
"291","East Diamond","EDIA-01","T6",39,"lagoon","gentle_slope",2,12,0,0,0,0
"292","East Diamond","EDIA-01","T7",38,"lagoon","gentle_slope",2,19,0,0,0,0
"293","East Diamond","EDIA-01","T8",32,"lagoon","gentle_slope",2,3,1,0,0,0
"294","East Diamond","EDIA-01","T9",32,"lagoon","gentle_slope",2,13,1,0,1,3
"295","East Diamond","EDIA-01","T10",25,"lagoon","gentle_slope",2,6,0,0,0,1
"296","East Diamond","EDIA-01","T11",26,"lagoon","moderate_slope",2,9,0,0,0,2
"297","East Diamond","EDIA-01","T12",21,"lagoon","moderate_slope",2,11,3,0,0,0
"298","East Diamond","EDIA-01","T13",15,"lagoon","moderate_slope",2,1,0,0,0,0
